,object_index,x,y,barycenter_ra,barycenter_dec,aperture_flux,aperture_flux_error,time,flux_radius,gaussian_fwhm,background,threshold,flux_max,isoarea_image,prof_rms_major_axis,prof_rms_minor_axis,pos_angle,flags
89,90,797.6434,490.7315,354.7739491,42.4660022,46864.71,104.9822,0.0,1.347,2.57,63.09814,24.68538,6185.163,71.0,1.307,1.124,-48.87,0
87,88,795.7442,493.4746,354.7739267,42.4658702,46976.62,105.2284,0.006333333333333333,1.223,2.33,62.75221,24.72576,6591.211,66.0,1.245,1.051,-50.22,0
91,92,777.7469,518.3339,354.7739432,42.4659779,47068.14,104.1432,0.06333333333333334,1.31,2.59,60.54407,24.46646,6152.639,72.0,1.334,1.069,-53.32,0
173,174,12.7477,226.7972,354.7739783,42.4660796,39449.92,103.4158,0.6459999999999999,1.31,2.28,56.0798,24.33428,5679.322,62.0,1.217,1.108,-65.87,0
182,183,14.6171,224.7628,354.7739867,42.4660462,39040.95,103.1494,0.6523333333333333,1.347,2.5,55.94918,24.24154,5234.813,72.0,1.323,1.192,21.11,0
147,148,1.6189,215.731,354.7749666,42.4677504,625.6234,81.11834,0.6586666666666666,2.526,5.55,54.95408,24.2526,65.00854,10.0,1.508,0.94,78.8,24
186,187,39.3177,224.9411,354.7740267,42.4660926,29824.12,103.4064,0.665,1.308,2.46,55.91999,24.28477,4125.238,55.0,1.2,1.071,-20.43,0
154,155,42.3413,222.318,354.7739387,42.4660742,47758.99,103.1444,0.6713333333333332,1.361,2.61,55.30538,24.22324,5926.487,64.0,1.283,1.089,-65.91,0
145,146,45.0742,219.9953,354.773975,42.4660913,47366.21,102.8247,0.6776666666666666,1.274,2.17,55.56038,24.19518,7364.862,62.0,1.141,1.075,-65.59,0
153,154,47.5384,217.5533,354.7739872,42.4660962,47244.99,103.0037,0.6839999999999999,1.37,2.72,55.35718,24.21587,5166.43,61.0,1.28,1.058,-42.94,0
153,154,58.0489,189.5636,354.7740852,42.4660128,47167.77,102.9324,0.6903333333333334,1.37,2.76,55.38748,24.1991,5873.785,62.0,1.258,1.078,-40.26,0
89,90,775.8851,521.4523,354.7739736,42.4659756,46795.18,103.9689,0.06966666666666667,1.258,2.63,60.24807,24.42118,6268.802,63.0,1.26,0.987,-42.74,0
249,250,91.8655,85.9799,354.7738186,42.4660491,27062.08,103.4474,0.6966666666666667,1.319,2.47,55.42231,24.3374,4110.546,72.0,1.927,1.034,-68.93,2
216,217,93.7257,83.9393,354.7740996,42.4660117,21742.98,103.1326,0.703,1.266,2.18,55.39752,24.22903,3197.727,48.0,1.185,1.065,6.28,0
165,166,166.7214,101.3706,354.7741042,42.4660327,47370.27,102.8166,0.7093333333333333,1.452,2.99,55.11622,24.1847,5096.999,71.0,1.386,1.115,-48.32,0
168,169,169.3653,98.7643,354.7740805,42.4660178,46905.55,103.0795,0.7156666666666667,1.452,2.99,54.51933,24.208,4690.509,73.0,1.42,1.118,-40.64,0
170,171,172.1213,96.4235,354.7740956,42.4660175,46854.87,102.815,0.722,1.361,2.8,54.60678,24.18006,5526.758,63.0,1.281,1.056,-44.41,0
231,232,174.5894,94.3802,354.7741004,42.4660712,18347.96,102.8949,0.7283333333333334,1.17,2.16,55.10681,24.20313,2459.945,41.0,1.139,0.972,11.68,0
181,182,282.2271,325.824,354.7740602,42.465933,-3293.838,103.5557,0.7346666666666666,-1.533,2.01,55.33772,24.34995,3672.623,50.0,1.166,1.028,72.71,0
135,136,284.3435,324.2279,354.7740775,42.466005,-89279.83,103.0106,0.741,-26.154,2.63,54.84962,24.21321,5880.54,62.0,1.33,1.06,-43.63,0
130,131,286.9325,321.5672,354.7741009,42.4660121,42296.73,102.9475,0.7473333333333333,1.348,2.52,54.5941,24.20692,6608.715,64.0,1.291,1.073,-38.41,0
133,134,289.7571,319.2401,354.7740557,42.4659962,46914.26,102.8138,0.7536666666666666,1.38,2.83,55.21612,24.15841,5909.056,66.0,1.349,1.088,-32.84,0
93,94,773.9046,524.2086,354.7739296,42.4659795,47056.5,104.2097,0.07599999999999998,1.297,2.79,60.35314,24.52108,6431.013,67.0,1.32,1.005,-44.13,0
138,139,357.1274,476.8276,354.7740659,42.4659987,37713.96,103.1987,0.76,1.326,2.49,54.44809,24.27028,5012.531,64.0,1.287,1.077,-76.66,0
111,112,359.3714,474.7303,354.7740999,42.4659924,46677.3,102.5937,0.7663333333333333,1.175,2.17,54.29551,24.12374,8146.197,64.0,1.192,1.008,-23.82,0
106,107,362.2265,472.5191,354.7741232,42.4660501,46605.8,103.1387,0.7726666666666666,1.311,2.73,54.66192,24.2519,6373.604,62.0,1.317,1.009,-43.35,0
111,112,364.8643,470.1192,354.7740699,42.4660252,46739.09,103.0278,0.7789999999999999,1.286,2.51,54.35828,24.20868,7135.102,66.0,1.23,1.038,-27.8,0
110,111,367.6887,467.7671,354.7741145,42.466033,46571.12,103.1258,0.7853333333333333,1.319,2.8,54.20306,24.24458,6606.451,64.0,1.305,1.005,-41.05,0
111,112,370.4527,465.5045,354.774114,42.4660164,45900.73,102.862,0.7916666666666666,1.159,2.4,54.1739,24.15267,7309.005,61.0,1.196,0.989,-30.98,0
111,112,373.402,463.1589,354.7741033,42.4660277,46148.94,102.8685,0.7979999999999999,1.337,2.73,54.20602,24.19693,5896.831,63.0,1.314,1.032,-39.76,0
117,118,376.2474,460.8604,354.7740731,42.4660181,45837.98,102.9012,0.8043333333333332,1.259,2.45,54.21746,24.18748,6647.843,65.0,1.241,1.037,-33.31,0
100,101,379.6285,458.4768,354.7742967,42.4661606,46278.52,102.9116,0.8106666666666666,1.691,3.54,54.22454,24.20706,5378.465,82.0,1.618,1.269,-31.23,0
116,117,382.0876,456.0484,354.7740767,42.4660098,46052.3,103.185,0.817,1.285,2.28,54.22895,24.24562,7170.417,61.0,1.201,1.056,-56.41,0
90,91,771.8565,526.9943,354.7739342,42.4659945,46938.97,103.829,0.08233333333333333,1.236,2.37,60.10946,24.4142,7938.241,60.0,1.165,0.973,-53.94,0
115,116,384.7623,453.6691,354.7741035,42.4660231,46014.02,102.3543,0.8233333333333334,1.319,2.78,54.40434,24.0632,6179.316,67.0,1.318,1.055,-29.22,0
119,120,387.6283,451.4011,354.7740904,42.466018,45601.9,102.38,0.8296666666666666,1.212,2.42,54.14954,24.08628,6504.693,65.0,1.246,1.018,-32.94,0
113,114,390.3593,449.088,354.7740617,42.4660081,45595.46,102.5153,0.836,1.235,2.33,54.56566,24.10105,7374.361,62.0,1.207,1.002,-27.33,0
111,112,393.3764,446.6761,354.774126,42.4660499,46394.99,102.7597,0.8423333333333333,1.29,2.8,54.22355,24.16704,6749.27,68.0,1.307,1.024,-39.58,0
115,116,396.6093,444.2356,354.7741208,42.4660562,46219.21,102.8578,0.8486666666666667,1.295,2.42,54.79694,24.17728,5722.174,66.0,1.266,1.111,-27.63,0
123,124,399.1743,441.9817,354.7741409,42.4660557,45865.69,103.1496,0.855,1.35,3.19,54.90525,24.24158,5617.215,62.0,1.331,0.987,-37.53,0
117,118,402.1277,439.6638,354.7741154,42.4660444,46041.11,102.8434,0.8613333333333333,1.298,2.85,54.27271,24.15683,7000.157,62.0,1.291,0.967,-38.19,0
117,118,405.0643,437.2114,354.7742061,42.4661018,46081.51,102.7644,0.8676666666666667,1.417,3.25,54.14696,24.16388,4949.007,67.0,1.454,1.033,-47.17,0
122,123,407.8753,435.2592,354.7740832,42.4660213,45979.63,102.9302,0.874,1.251,2.79,54.28578,24.18147,6461.418,59.0,1.257,0.961,-27.02,0
124,125,410.799,432.9502,354.7741308,42.4660679,46224.57,102.5594,0.8803333333333332,1.32,2.88,54.41336,24.12849,7148.734,61.0,1.309,0.974,-36.11,0
92,93,769.7003,529.7007,354.7739761,42.4659816,46572.45,103.9717,0.08866666666666666,1.293,2.71,60.27961,24.43911,5877.85,66.0,1.307,1.038,-44.16,0
120,121,413.8112,430.8362,354.7741142,42.4660208,46002.46,103.1187,0.8866666666666667,1.246,2.5,54.4015,24.23432,7532.006,62.0,1.233,0.987,-27.1,0
118,119,416.8025,428.5273,354.7740981,42.4660215,46354.84,102.5995,0.8929999999999999,1.231,2.66,54.15733,24.13364,7131.587,62.0,1.252,0.97,-27.41,0
127,128,419.6388,426.4498,354.7741211,42.4660371,45911.24,102.8766,0.8993333333333333,1.191,2.5,54.46434,24.17743,6633.015,58.0,1.226,0.96,-31.24,0
115,116,422.5197,424.0147,354.7741011,42.4660219,46159.88,102.7165,0.9056666666666666,1.26,2.47,54.1699,24.16972,7158.602,67.0,1.251,1.012,-28.18,0
101,102,425.8845,421.5304,354.7744395,42.4662707,45861.8,103.4549,0.9119999999999999,1.837,4.85,54.4078,24.29618,4538.669,88.0,1.895,1.239,-41.57,0
116,117,428.4835,419.1903,354.7741512,42.4660142,46224.77,102.2573,0.9183333333333333,1.251,2.47,53.99683,24.0574,6285.209,63.0,1.226,1.054,-45.36,0
118,119,431.2905,416.7153,354.7741318,42.4660172,45997.34,102.8063,0.9246666666666666,1.367,2.99,54.24011,24.13532,5750.556,66.0,1.377,1.041,-37.59,0
122,123,434.2904,414.2422,354.7741061,42.4660202,45788.71,103.0397,0.931,1.252,2.48,54.2856,24.21575,6991.467,64.0,1.274,1.017,-34.14,0
123,124,440.2229,409.859,354.7740906,42.4659994,45696.01,102.9544,0.9436666666666665,1.222,2.29,53.92142,24.2,7686.609,62.0,1.199,0.994,-33.54,0
123,124,443.3606,407.8585,354.7741203,42.466024,46023.4,102.3263,0.95,1.337,2.92,53.65299,24.06511,6338.857,63.0,1.331,1.016,-34.2,0
91,92,767.5248,532.6434,354.773966,42.4660131,46799.43,103.5318,0.095,1.133,2.05,60.31977,24.34002,7249.055,64.0,1.144,1.015,-45.47,0
117,118,446.3006,405.3671,354.7741334,42.4660002,45908.78,102.5449,0.9563333333333333,1.212,2.5,54.06665,24.11226,7211.792,66.0,1.255,1.04,-38.72,0
120,121,449.3549,403.0574,354.7741199,42.4660323,46217.8,102.9337,0.9626666666666667,1.292,2.66,53.32422,24.20369,6895.088,65.0,1.33,1.061,-34.19,0
121,122,452.4362,400.8447,354.7741107,42.4660353,45349.21,102.4349,0.969,1.29,2.77,53.11684,24.07362,6300.586,66.0,1.327,0.979,-37.78,0
124,125,455.678,398.5567,354.7741071,42.4660493,45784.75,102.6818,0.9753333333333333,1.306,2.87,53.55501,24.13165,5847.419,60.0,1.321,0.975,-36.25,0
120,121,458.5184,396.174,354.7741998,42.4660674,45537.94,102.7198,0.9816666666666667,1.451,3.26,53.62679,24.1534,5887.145,69.0,1.482,1.06,-42.69,0
122,123,461.568,393.9065,354.7741212,42.4660556,45773.11,102.5063,0.9879999999999999,1.332,2.96,53.65071,24.10319,6580.638,58.0,1.327,0.958,-32.68,0
