,object_index,x,y,barycenter_ra,barycenter_dec,aperture_flux,aperture_flux_error,time,flux_radius,gaussian_fwhm,background,threshold,flux_max,isoarea_image,prof_rms_major_axis,prof_rms_minor_axis,pos_angle,flags
147,148,800.6997,171.0292,354.6010161,42.5029851,10732.48,104.9451,0.0,1.363,2.6,63.41307,24.68538,1361.699,42.0,1.296,1.032,-49.76,0
144,145,798.713,173.7068,354.6009263,42.5029805,11030.42,105.3213,0.006333333333333333,1.322,2.71,62.84424,24.72576,1426.352,43.0,1.268,1.113,-80.24,0
149,150,780.8466,198.5403,354.6009726,42.5029697,10924.8,104.0696,0.06333333333333334,1.334,2.68,60.54855,24.46646,1433.596,37.0,1.234,0.998,-45.09,0
110,111,3.2704,546.4788,354.6011068,42.5032211,8821.389,91.74506,0.6459999999999999,1.258,2.19,56.76189,24.33428,1142.227,35.0,1.129,1.05,-55.82,24
119,120,5.1427,544.4719,354.6011203,42.5032096,9079.526,99.88926,0.6523333333333333,1.328,2.5,56.89784,24.24154,1173.736,34.0,1.187,0.985,-78.1,16
124,125,29.7237,544.7173,354.601091,42.5032224,6765.573,103.4611,0.665,1.242,2.4,56.82558,24.28477,905.4212,30.0,1.136,0.923,-19.31,0
97,98,32.7773,541.9964,354.6011001,42.5032168,10541.18,102.9986,0.6713333333333332,1.321,2.53,56.49224,24.22324,1384.358,36.0,1.157,1.023,-73.92,0
93,94,35.5461,539.6321,354.6011113,42.5032444,10652.58,102.8975,0.6776666666666666,1.153,2.09,56.71926,24.19518,1528.217,35.0,1.044,0.986,88.7,0
102,103,37.9699,537.2256,354.601125,42.5032341,11036.43,103.0037,0.6839999999999999,1.319,2.58,56.36877,24.21587,1421.344,39.0,1.235,0.982,-43.66,0
106,107,48.3881,509.238,354.6011264,42.5030036,11060.11,102.9324,0.6903333333333334,1.364,2.71,56.29354,24.1991,1244.01,41.0,1.224,1.042,-40.68,0
148,149,778.9527,201.6703,354.6010032,42.5029905,10545.77,103.9322,0.06966666666666667,1.304,2.87,60.52515,24.42118,1570.02,35.0,1.229,0.975,-39.43,0
171,172,82.0844,405.4775,354.6011271,42.5032147,6382.068,103.667,0.6966666666666667,1.249,2.21,56.01349,24.3374,841.1019,31.0,1.095,0.986,-62.91,0
145,146,83.7555,403.6543,354.6011047,42.5029823,5060.17,103.0415,0.703,1.2,2.14,55.67935,24.22903,766.1154,26.0,0.985,0.946,40.52,0
110,111,156.871,421.0522,354.6011514,42.5030203,10843.79,102.9257,0.7093333333333333,1.379,2.89,55.49429,24.1847,1372.49,38.0,1.266,0.995,-48.34,0
115,116,159.468,418.4713,354.6010987,42.5029998,11011.02,103.0431,0.7156666666666667,1.466,3.0,55.52262,24.208,1235.682,43.0,1.351,1.043,-42.8,0
114,115,162.2631,416.1357,354.6011502,42.5030205,10988.54,102.9787,0.722,1.303,2.64,55.09851,24.18006,1315.252,40.0,1.256,0.947,-39.16,0
156,157,164.6745,414.0721,354.6011201,42.5030233,3324.562,103.0769,0.7283333333333334,1.157,2.12,55.60157,24.20313,730.9097,20.0,0.961,0.835,2.63,0
97,98,272.7906,645.4656,354.6011367,42.5029357,5189.577,103.5374,0.7346666666666666,1.09,1.76,56.008,24.34995,911.7057,28.0,1.054,0.878,89.18,0
73,74,274.8358,643.8565,354.601149,42.5030015,10745.21,102.956,0.741,1.323,2.51,55.33103,24.21321,1602.18,42.0,1.293,0.983,-38.75,0
75,76,277.4961,641.2682,354.6011607,42.5030317,10718.27,103.0749,0.7473333333333333,1.273,2.52,55.43835,24.20692,1407.983,37.0,1.2,0.957,-36.18,0
75,76,280.3116,638.9892,354.6010793,42.5030145,10818.75,102.723,0.7536666666666666,1.33,2.7,55.50452,24.15841,1359.055,42.0,1.237,1.022,-36.3,0
150,151,776.9796,204.4947,354.6009962,42.5029889,10376.96,104.2282,0.07599999999999998,1.333,2.72,60.42055,24.52108,1449.936,36.0,1.24,0.965,-47.59,0
59,60,347.9016,796.5215,354.6010943,42.5029962,9090.275,103.3629,0.76,1.302,2.47,55.05459,24.27028,1302.731,34.0,1.176,0.983,-68.42,0
52,53,350.1938,794.4625,354.6011325,42.5030102,10835.05,102.5937,0.7663333333333333,1.178,2.34,55.19937,24.12374,1546.273,37.0,1.147,0.917,-15.32,0
46,47,353.035,792.2385,354.6011701,42.5030558,10735.97,103.2664,0.7726666666666666,1.283,2.82,55.57711,24.2519,1477.494,34.0,1.227,0.877,-40.1,0
52,53,355.6017,789.7938,354.6011181,42.5030114,10779.27,102.8456,0.7789999999999999,1.27,2.64,55.51186,24.20868,1450.399,36.0,1.171,0.94,-21.43,0
51,52,358.5164,787.431,354.6011794,42.5030526,10970.62,103.0894,0.7853333333333333,1.233,2.64,54.95581,24.24458,1527.725,33.0,1.212,0.857,-38.34,0
48,49,361.2676,785.2158,354.6011674,42.503041,10834.58,102.6986,0.7916666666666666,1.182,2.31,54.91758,24.15267,1693.631,36.0,1.163,0.896,-17.92,0
50,51,364.2868,782.8278,354.601184,42.5030717,10910.0,102.8685,0.7979999999999999,1.305,2.78,54.71189,24.19693,1509.406,39.0,1.269,0.957,-30.41,0
57,58,366.9961,780.494,354.6011367,42.5030031,10894.13,102.8102,0.8043333333333332,1.237,2.31,54.57655,24.18748,1529.714,38.0,1.15,0.97,-27.09,0
45,46,370.4575,778.1648,354.6013545,42.5032074,10719.0,102.9298,0.8106666666666666,1.654,3.9,55.09623,24.20706,963.8809,47.0,1.522,1.163,-34.09,0
53,54,372.9038,775.7307,354.6011368,42.5030289,10655.58,103.2579,0.817,1.219,2.28,55.01986,24.24562,1667.362,34.0,1.096,0.915,-43.04,0
147,148,774.9537,207.2505,354.6009882,42.5030659,10663.91,103.8106,0.08233333333333333,1.219,2.2,60.10712,24.4142,1598.311,36.0,1.136,0.963,-47.53,0
55,56,375.4867,773.3326,354.6011579,42.5030219,10682.32,102.4629,0.8233333333333334,1.266,2.63,54.90942,24.0632,1352.505,34.0,1.194,0.898,-31.75,0
56,57,378.4074,771.0475,354.6011726,42.5030263,10980.68,102.4163,0.8296666666666666,1.201,2.27,54.74884,24.08628,1643.531,38.0,1.184,0.907,-35.44,0
50,51,381.1509,768.7309,354.6011289,42.503019,10928.42,102.5878,0.836,1.206,2.38,55.39876,24.10105,1755.693,38.0,1.188,0.885,-24.55,0
48,49,384.1861,766.3879,354.6011625,42.5030737,10702.23,102.7051,0.8423333333333333,1.247,2.66,55.03687,24.16704,1382.588,38.0,1.222,0.919,-33.71,0
53,54,387.427,763.8942,354.601198,42.5030774,10619.08,102.8032,0.8486666666666667,1.315,2.43,55.07887,24.17728,1693.974,37.0,1.182,1.002,-29.05,0
55,56,389.9403,761.6553,354.6012029,42.5030636,11028.65,103.1131,0.855,1.286,2.71,55.10013,24.24158,1554.283,36.0,1.246,0.884,-35.73,0
49,50,392.8759,759.3398,354.6011033,42.5029854,10985.74,102.8616,0.8613333333333333,1.266,2.95,54.77652,24.15683,1437.213,38.0,1.234,0.874,-34.64,0
51,52,395.791,756.8844,354.6012741,42.5030998,10836.45,102.7098,0.8676666666666667,1.387,3.27,54.8706,24.16388,1324.554,37.0,1.378,0.893,-42.47,0
59,60,398.5565,754.8988,354.6011735,42.5030143,10793.9,102.9847,0.874,1.261,2.55,54.75956,24.18147,1710.795,36.0,1.207,0.893,-22.48,0
58,59,401.5269,752.6,354.6011861,42.5030648,10894.51,102.5413,0.8803333333333332,1.189,2.62,54.94805,24.12849,1547.331,34.0,1.189,0.869,-39.7,0
147,148,772.8467,209.9285,354.6010068,42.5029784,10455.86,104.0268,0.08866666666666666,1.354,2.61,60.23969,24.43911,1497.226,41.0,1.267,1.015,-43.87,0
56,57,404.5158,750.5644,354.6011483,42.5030242,10667.55,103.0822,0.8866666666666667,1.174,2.58,54.56804,24.23432,1493.841,33.0,1.165,0.86,-29.26,0
58,59,407.5186,748.24,354.6011549,42.5030344,10792.51,102.6721,0.8929999999999999,1.162,2.37,54.94629,24.13364,1844.482,31.0,1.131,0.827,-32.9,0
65,66,410.3885,746.0712,354.6012139,42.5030452,10839.34,102.7856,0.8993333333333333,1.222,2.56,55.01277,24.17743,1590.661,33.0,1.205,0.843,-35.23,0
57,58,413.2405,743.6801,354.6011643,42.5030304,10863.37,102.8438,0.9056666666666666,1.177,2.34,54.77871,24.16972,1844.216,36.0,1.149,0.874,-30.95,0
47,48,416.5659,741.2379,354.601475,42.5032524,10909.92,103.4549,0.9119999999999999,1.834,4.9,54.45787,24.29618,1030.161,53.0,1.832,1.109,-45.97,0
52,53,419.2034,738.8526,354.6011873,42.5030174,11004.04,102.2573,0.9183333333333333,1.239,2.26,54.77892,24.0574,1875.143,38.0,1.158,0.927,-37.86,0
55,56,422.0183,736.4047,354.6011697,42.5030346,10775.55,102.6066,0.9246666666666666,1.284,2.69,54.63154,24.13532,1337.205,35.0,1.27,0.852,-35.86,0
64,65,424.9805,733.9113,354.6011472,42.5030319,10709.95,102.9303,0.931,1.273,2.8,54.9095,24.21575,1608.546,35.0,1.189,0.889,-37.46,0
62,63,430.9151,729.5478,354.6011465,42.5029934,10657.96,103.0272,0.9436666666666665,1.158,2.39,54.23173,24.2,1708.091,31.0,1.109,0.838,-30.35,0
58,59,434.0466,727.5764,354.6011345,42.5030169,10886.99,102.3625,0.95,1.327,2.91,54.38638,24.06511,1485.852,35.0,1.26,0.894,-33.56,0
150,151,770.5945,212.9419,354.6010377,42.5030289,10548.91,103.4952,0.095,1.225,2.25,60.29882,24.34002,1707.363,39.0,1.122,1.067,-37.84,0
59,60,436.9978,725.0532,354.6011777,42.5030013,10832.67,102.4904,0.9563333333333333,1.24,2.55,54.21029,24.11226,1855.464,33.0,1.18,0.889,-28.6,0
55,56,440.0358,722.7339,354.6011673,42.5030158,10924.32,102.9155,0.9626666666666667,1.298,3.09,53.79884,24.20369,1560.202,39.0,1.301,0.895,-40.83,0
57,58,443.0952,720.5591,354.6011219,42.5030143,10393.12,102.453,0.969,1.209,2.57,54.23891,24.07362,1619.098,35.0,1.204,0.857,-33.45,0
60,61,446.3546,718.2077,354.6011604,42.5030306,10587.45,102.6092,0.9753333333333333,1.252,2.74,54.32208,24.13165,1504.492,32.0,1.223,0.836,-42.11,0
58,59,449.1693,715.8054,354.6012569,42.5030335,11190.27,102.738,0.9816666666666667,1.346,2.86,54.12278,24.1534,1820.248,39.0,1.351,0.907,-41.04,0
59,60,452.2529,713.5593,354.6011682,42.5030361,10897.37,102.5244,0.9879999999999999,1.279,3.05,54.44735,24.10319,1422.661,37.0,1.279,0.855,-31.4,0
65,66,455.2282,711.3506,354.6011597,42.5030061,10624.0,102.607,0.9943333333333334,1.281,2.82,53.97396,24.12687,1365.8,36.0,1.285,0.876,-27.85,0
60,61,458.3517,709.0064,354.601136,42.503016,10621.37,102.4681,1.0006666666666666,1.252,2.7,53.80304,24.09847,1469.595,35.0,1.212,0.885,-36.34,0
60,61,461.5418,706.9191,354.6012006,42.5030791,10910.58,102.6685,1.007,1.37,2.99,53.8167,24.11147,1452.62,39.0,1.364,0.907,-27.72,0
66,67,464.6538,704.4932,354.6011289,42.5029718,10667.39,102.752,1.0133333333333334,1.15,2.4,53.77471,24.13963,1667.125,35.0,1.119,0.9,-37.33,0
150,151,768.5618,215.61,354.6010509,42.5029984,10480.13,103.9254,0.10133333333333333,1.278,2.63,60.28371,24.43687,1625.264,37.0,1.272,0.941,-54.34,0
62,63,467.6972,702.4593,354.6011922,42.5030291,10782.86,102.5586,1.0196666666666665,1.251,2.82,53.65393,24.09844,1443.769,35.0,1.215,0.896,-32.17,0
65,66,470.5993,700.1216,354.6011538,42.5030151,10556.18,102.4317,1.026,1.216,2.52,53.66721,24.09843,1669.735,31.0,1.168,0.809,-22.74,0
66,67,473.8118,697.934,354.601159,42.5030296,10605.42,102.4946,1.0323333333333333,1.298,2.85,53.29432,24.09617,1663.418,39.0,1.281,0.86,-37.59,0
65,66,476.9415,695.7749,354.6011359,42.5029997,11054.87,102.83,1.0386666666666666,1.242,2.32,53.60954,24.16649,1869.893,35.0,1.196,0.889,-32.32,0
64,65,480.0891,693.4963,354.6011359,42.5030558,10806.96,102.476,1.045,1.275,3.0,53.74123,24.06627,1603.697,37.0,1.311,0.849,-37.57,0
64,65,483.661,691.4218,354.6011284,42.5029892,10548.92,102.4804,1.0513333333333332,1.122,2.29,54.12748,24.09282,1695.379,35.0,1.129,0.869,-26.68,0
66,67,486.6197,689.1361,354.6011838,42.5030213,10756.4,102.2501,1.0576666666666668,1.242,2.72,53.3233,24.05146,1702.154,34.0,1.229,0.862,-40.29,0
69,70,489.6357,686.9926,354.6011613,42.5030073,10985.27,102.6512,1.064,1.27,2.87,53.63429,24.133,1495.625,36.0,1.18,0.9,-36.92,0
67,68,492.8509,684.8615,354.6011348,42.5030116,10834.34,102.6909,1.0703333333333331,1.231,2.4,53.80466,24.13806,1820.827,37.0,1.26,0.875,-17.73,0
67,68,496.1295,682.5663,354.6011205,42.5029976,10480.33,102.4816,1.0766666666666667,1.328,2.66,53.69203,24.10165,1376.3,36.0,1.297,0.921,-39.59,0
147,148,766.4498,218.41,354.6010856,42.50303,10344.47,103.7875,0.10766666666666666,1.131,2.23,59.66291,24.40446,1599.641,36.0,1.151,0.907,-39.45,0
78,79,499.2545,680.3614,354.6010739,42.5029988,10583.38,102.4327,1.083,1.14,2.12,53.86028,24.08587,1637.411,34.0,1.122,0.875,-38.0,0
