,object_index,x,y,barycenter_ra,barycenter_dec,aperture_flux,aperture_flux_error,time,flux_radius,gaussian_fwhm,background,threshold,flux_max,isoarea_image,prof_rms_major_axis,prof_rms_minor_axis,pos_angle,flags
146,147,800.6921,171.031,354.6010189,42.5029876,11848.91,193.3278,0.0,1.363,2.59,63.30581,24.78594,1368.003,41.0,1.29,1.029,-50.96,0
147,148,798.7162,173.6994,354.6010206,42.5030133,12190.1,193.1931,0.006333333333333333,1.321,2.63,62.86795,24.76867,1422.204,43.0,1.267,1.115,-81.13,0
147,148,780.8467,198.5398,354.6009801,42.5029703,11773.34,191.8593,0.06333333333333334,1.333,2.67,60.55962,24.60026,1438.25,37.0,1.234,0.998,-45.2,0
123,124,29.7165,544.7089,354.6010933,42.5029889,7473.316,189.9473,0.665,1.26,2.4,56.64621,24.34997,907.1151,31.0,1.137,0.941,-18.12,0
96,97,32.7771,541.9953,354.6010477,42.5030333,11560.22,189.1816,0.6713333333333332,1.321,2.52,56.55949,24.27481,1388.522,36.0,1.158,1.021,-73.83,0
93,94,35.5535,539.627,354.6011153,42.5032476,11813.17,189.2889,0.6776666666666666,1.158,2.09,56.79553,24.26812,1521.958,33.0,1.028,0.981,-88.65,0
102,103,37.9702,537.2247,354.601132,42.503235,11943.88,189.2651,0.6839999999999999,1.319,2.58,56.34982,24.27147,1417.387,39.0,1.236,0.983,-43.85,0
105,106,48.3846,509.2434,354.6011259,42.5030045,12159.48,189.0203,0.6903333333333334,1.361,2.71,56.28157,24.24389,1251.375,42.0,1.23,1.042,-41.9,0
148,149,778.9704,201.6872,354.6010155,42.5029834,11428.26,191.1553,0.06966666666666667,1.285,2.84,60.58,24.50999,1573.146,33.0,1.231,0.915,-40.78,0
172,173,82.0844,405.4778,354.601048,42.5029906,7001.513,190.1947,0.6966666666666667,1.246,2.21,56.03876,24.38554,839.0933,31.0,1.096,0.987,-62.91,0
148,149,83.7541,403.6537,354.6011538,42.5032111,5633.085,189.3095,0.703,1.203,2.13,55.63752,24.27204,760.7228,26.0,0.985,0.947,41.02,0
110,111,156.8655,421.0628,354.6011948,42.5030164,11946.34,189.0281,0.7093333333333333,1.378,2.89,55.49171,24.23469,1372.259,37.0,1.247,0.995,-47.05,0
115,116,159.4715,418.4836,354.6011212,42.5030033,11474.76,189.6727,0.7156666666666667,1.464,3.0,55.48084,24.31733,1235.892,43.0,1.356,1.041,-42.24,0
114,115,162.2579,416.1447,354.6011373,42.5030089,11556.69,189.3105,0.722,1.303,2.64,55.17831,24.2709,1317.124,39.0,1.232,0.946,-39.86,0
156,157,164.6879,414.072,354.6011207,42.5030048,4608.001,188.9167,0.7283333333333334,1.146,2.07,55.54483,24.22168,733.776,20.0,0.954,0.838,2.53,0
97,98,272.7913,645.4655,354.6011196,42.502946,5657.903,190.4937,0.7346666666666666,1.092,1.76,56.09389,24.42517,912.4977,28.0,1.054,0.878,89.07,0
74,75,274.8347,643.8569,354.6011837,42.5030272,11460.67,189.0829,0.741,1.324,2.51,55.37831,24.24171,1603.077,42.0,1.293,0.984,-38.85,0
75,76,277.4966,641.2672,354.601161,42.5030347,11958.73,189.3366,0.7473333333333333,1.272,2.51,55.55534,24.27168,1410.254,37.0,1.2,0.957,-36.1,0
