,object_index,x,y,barycenter_ra,barycenter_dec,aperture_flux,aperture_flux_error,time,flux_radius,gaussian_fwhm,background,threshold,flux_max,isoarea_image,prof_rms_major_axis,prof_rms_minor_axis,pos_angle,flags
90,91,797.6444,490.7315,354.7739493,42.4660017,46930.83,105.4286,0.0,1.348,2.57,63.04834,24.78594,6214.757,71.0,1.308,1.124,-49.0,0
88,89,795.7437,493.475,354.7739942,42.4659806,47024.02,105.4296,0.006333333333333333,1.225,2.33,62.84735,24.76867,6591.437,66.0,1.245,1.05,-50.19,0
91,92,777.748,518.3356,354.7739561,42.4659783,47063.76,104.6573,0.06333333333333334,1.31,2.59,60.53278,24.60026,6134.025,72.0,1.334,1.067,-53.31,0
185,186,39.3141,224.9369,354.774116,42.466008,29843.51,103.6474,0.665,1.308,2.46,55.77903,24.34997,4151.457,56.0,1.199,1.085,-20.11,0
153,154,42.3436,222.3167,354.7740117,42.4660048,47755.13,103.364,0.6713333333333332,1.362,2.61,55.07522,24.27481,5910.662,64.0,1.284,1.088,-66.1,0
146,147,45.0744,219.9949,354.7739763,42.4660922,47380.75,103.1347,0.6776666666666666,1.274,2.16,55.58066,24.26812,7375.999,62.0,1.141,1.075,-65.26,0
153,154,47.5405,217.5544,354.7739952,42.4660984,47244.62,103.2219,0.6839999999999999,1.372,2.73,55.29025,24.27147,5155.36,62.0,1.282,1.061,-42.35,0
152,153,58.0406,189.5699,354.7740831,42.4660031,47120.98,103.1958,0.6903333333333334,1.369,2.77,55.40323,24.24389,5872.765,60.0,1.246,1.075,-40.91,0
89,90,775.885,521.4525,354.7739767,42.4659763,46861.16,104.347,0.06966666666666667,1.257,2.63,60.23212,24.50999,6291.067,63.0,1.26,0.986,-42.56,0
250,251,91.8662,85.9785,354.7738877,42.4659841,27089.73,103.652,0.6966666666666667,1.321,2.48,55.46323,24.38554,4100.142,72.0,1.927,1.033,-68.94,2
218,219,93.723,83.939,354.7739921,42.4660683,21796.7,103.3704,0.703,1.262,2.19,55.39509,24.27204,3201.313,48.0,1.177,1.064,5.77,0
